net,length_um
_2464_,28.68µm
_0327_,28.66µm
_0869_,28.66µm
_3393_,28.64µm
_2155_,28.6µm
_3136_,28.52µm
_1974_,28.5µm
_1136_,28.36µm
_2010_,28.36µm
_1869_,28.34µm
_3126_,28.24µm
_2701_,28.22µm
_0518_,28.2µm
_2661_,28.2µm
_2310_,28.12µm
_2014_,28.075µm
_1305_,27.9µm
_0873_,27.88µm
_0462_,27.8µm
_0611_,27.72µm
_0748_,27.69µm
_0871_,27.66µm
_1756_,27.6µm
_alu_i0.Datapath_i.reg_0.reg_out1\[25\],27.48µm
_2429_,27.44µm
_3334_,27.44µm
_1168_,27.42µm
_1426_,27.4µm
_1333_,27.38µm
_2672_,27.38µm
_2271_,27.34µm
_2739_,27.34µm
_3111_,27.32µm
_2916_,27.3µm
_0415_,27.28µm
_2072_,27.28µm
_3224_,27.28µm
_3331_,27.235µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[0\],27.165µm
_alu_i0.Datapath_i.reg_0.reg_out1\[15\],27.14µm
_0774_,27.12µm
_2889_,27.12µm
_2316_,27.1µm
_0393_,27.08µm
_1312_,27.02µm
_2822_,27.02µm
_3249_,27.02µm
_3330_,26.98µm
_1932_,26.95µm
_0334_,26.86µm
_0354_,26.82µm
_0602_,26.69µm
_0163_,26.64µm
_2743_,26.64µm
_3348_,26.64µm
_1574_,26.58µm
_1814_,26.58µm
_2058_,26.58µm
_0589_,26.56µm
_1207_,26.56µm
_1310_,26.56µm
_alu_i0.Datapath_i.reg_0.reg_out1\[12\],26.42µm
_0069_,26.4µm
_0342_,26.4µm
_1069_,26.3µm
_1692_,26.24µm
_3114_,26.24µm
_1199_,26.23µm
_0744_,26.22µm
_0758_,26.2µm
_3371_,26.16µm
_1317_,26.12µm
_2033_,26.1µm
_3299_,26.04µm
_0645_,26µm
_0085_,25.98µm
_0824_,25.98µm
_1021_,25.96µm
_alu_i0.Datapath_i.reg_0.reg_out1\[27\],25.96µm
_0590_,25.94µm
_1013_,25.94µm
_2791_,25.94µm
_0467_,25.9µm
_1477_,25.89µm
_0262_,25.885µm
_2845_,25.88µm
_2222_,25.86µm
_1831_,25.82µm
_2974_,25.81µm
_0011_,25.7µm
_1981_,25.66µm
_alu_i0.Datapath_i.reg_0.reg_out1\[26\],25.62µm
_0579_,25.6µm
_1311_,25.6µm
_1894_,25.56µm
_0889_,25.52µm
_3071_,25.52µm
_0586_,25.5µm
_0876_,25.5µm
_1093_,25.5µm
_0923_,25.48µm
_1028_,25.48µm
_2808_,25.48µm
_0907_,25.46µm
_1721_,25.46µm
_0385_,25.36µm
_3308_,25.36µm
_2426_,25.34µm
_2280_,25.31µm
_0535_,25.29µm
_2461_,25.28µm
_1675_,25.24µm
_1815_,25.14µm
_1833_,25.065µm
_3397_,25.02µm
_2262_,24.88µm
_0988_,24.86µm
_2300_,24.84µm
_2218_,24.82µm
_2242_,24.82µm
_0179_,24.76µm
_alu_i0.Datapath_i.reg_0.reg_out1\[8\],24.76µm
_1206_,24.655µm
_0007_,24.62µm
_1024_,24.62µm
_1829_,24.62µm
_1876_,24.62µm
_0213_,24.58µm
_1214_,24.58µm
_3278_,24.58µm
_3321_,24.58µm
_1788_,24.56µm
_0226_,24.54µm
_3169_,24.48µm
net115,24.38µm
_1234_,24.36µm
_2683_,24.36µm
_1611_,24.34µm
_2106_,24.34µm
_2140_,24.32µm
_3017_,24.32µm
_0367_,24.3µm
_alu_i0.Datapath_i.reg_0.reg_out1\[9\],24.3µm
_1042_,24.26µm
_1896_,24.26µm
_1939_,24.22µm
_2471_,24.22µm
_0333_,24.2µm
_1231_,24.18µm
_2777_,24.14µm
_1423_,24.13µm
_1324_,24.12µm
_1563_,24.11µm
_3143_,24.08µm
_2086_,24.06µm
_2369_,24µm
_2343_,23.96µm
_1819_,23.94µm
_2193_,23.92µm
_1360_,23.9µm
_0332_,23.86µm
_0915_,23.86µm
_1763_,23.84µm
_2839_,23.8µm
_2054_,23.78µm
_2142_,23.78µm
_1717_,23.77µm
_0132_,23.76µm
_1255_,23.76µm
_1184_,23.74µm
_2037_,23.74µm
_2084_,23.72µm
_0745_,23.71µm
_1543_,23.68µm
_1791_,23.66µm
_2416_,23.62µm
_1571_,23.6µm
_2805_,23.6µm
_0237_,23.56µm
_0419_,23.56µm
_3104_,23.54µm
_1100_,23.52µm
_0284_,23.5µm
_0919_,23.48µm
_3146_,23.44µm
_0574_,23.38µm
_3083_,23.38µm
_0925_,23.36µm
_0762_,23.34µm
_0389_,23.16µm
_1253_,23.14µm
_1522_,23.14µm
